id,name,price,stock,link,category
1,SparkFun Thing Plus - STM32,$45.65,In stock,https://www.sparkfun.com/sparkfun-thing-plus-stm32.html,Development Boards
2,SparkFun Roller Encoder Breakout,$1.95,In stock,https://www.sparkfun.com/sparkfun-roller-encoder-breakout.html,Development Boards
3,SparkFun RedBoard Artemis,$24.95,In stock,https://www.sparkfun.com/sparkfun-redboard-artemis.html,Development Boards
4,SparkFun OpenLog,$17.50,In stock,https://www.sparkfun.com/sparkfun-openlog.html,Development Boards
5,SparkFun OpenLog Artemis,$59.95,In stock,https://www.sparkfun.com/sparkfun-openlog-artemis.html,Development Boards
6,SparkFun MicroMod Teensy Processor with Copy Protection,$29.95,In stock,https://www.sparkfun.com/sparkfun-micromod-teensy-processor-with-copy-protection.html,Development Boards
7,NVIDIA Jetson Orin™ Nano Super Developer Kit,$249.00,In stock,https://www.sparkfun.com/nvidia-jetson-orin-nano-developer-kit.html,Development Boards
8,SparkFun RedBoard Qwiic,$21.95,In stock,https://www.sparkfun.com/sparkfun-redboard-qwiic.html,Development Boards
9,SparkFun RedBoard - Programmed with Arduino,$22.50,In stock,https://www.sparkfun.com/sparkfun-redboard-programmed-with-arduino.html,Development Boards
10,SparkFun IoT RedBoard - ESP32 Development Board,$41.87,In stock,https://www.sparkfun.com/sparkfun-iot-redboard-esp32-development-board.html,Development Boards
11,SparkFun Digi XBee® Arduino Shield - USB-C (Qwiic),$13.95,In stock,https://www.sparkfun.com/sparkfun-digi-xbeer-arduino-shield-usb-c-qwiic.html,Development Boards
12,SparkFun Thing Plus - ESP32 WROOM (USB-C),$33.73,Backorder,https://www.sparkfun.com/sparkfun-thing-plus-esp32-wroom-usb-c.html,Development Boards
13,Alchitry Au+ FPGA Development Board (Xilinx Artix 7),$324.95,In stock,https://www.sparkfun.com/alchitry-au-fpga-development-board-xilinx-artix-7-dev-17514.html,Development Boards
14,SparkFun Qwiic Pro Micro - USB-C,$23.95,In stock,https://www.sparkfun.com/sparkfun-qwiic-pro-micro-usb-c-atmega32u4.html,Development Boards
15,SparkFun Thing Plus Matter - MGM240P,$27.95,Backorder,https://www.sparkfun.com/sparkfun-thing-plus-matter-mgm240p.html,Development Boards
16,Raspberry Pi 5 - 2GB,$70.00,In stock,https://www.sparkfun.com/raspberry-pi-5-2gb.html,Development Boards
17,Raspberry Pi 5 - 4GB,$90.00,In stock,https://www.sparkfun.com/raspberry-pi-5-4gb.html,Development Boards
18,Raspberry Pi 5 - 8GB,$130.00,In stock,https://www.sparkfun.com/raspberry-pi-5-8gb.html,Development Boards
19,Teensy 4.0,$23.80,In stock,https://www.sparkfun.com/teensy-4-0.html,Development Boards
20,Teensy 4.0 (Headers),$26.80,In stock,https://www.sparkfun.com/teensy-4-0-headers.html,Development Boards
21,Teensy 4.1 (Headers),$35.95,In stock,https://www.sparkfun.com/teensy-4-1-headers.html,Development Boards
22,Teensy 4.1,$31.50,In stock,https://www.sparkfun.com/teensy-4-1.html,Development Boards
23,SparkFun AzureWave Thing Plus - AW-CU488,$28.50,In stock,https://www.sparkfun.com/sparkfun-azurewave-thing-plus-aw-cu488.html,Development Boards
24,Arduino UNO R4 WiFi,$27.50,In stock,https://www.sparkfun.com/arduino-uno-r4-wifi.html,Development Boards
25,SparkFun Thing Plus - NORA-W306,$39.95,In stock,https://www.sparkfun.com/sparkfun-thing-plus-nora-w306.html,Development Boards
26,Nicla Voice,$82.00,In stock,https://www.sparkfun.com/nicla-voice.html,Development Boards
27,Raspberry Pi 5 - 1GB,$50.00,In stock,https://www.sparkfun.com/raspberry-pi-5-1gb.html,Development Boards
28,Raspberry Pi AI HAT+ 2,$130.00,Out of stock,https://www.sparkfun.com/raspberry-pi-ai-hat-2.html,Development Boards
29,SparkFun Qwiic 24 Bit ADC - 4 Channel (ADS1219),$15.95,In stock,https://www.sparkfun.com/sparkfun-qwiic-24-bit-adc-4-channel-ads1219.html,Development Boards
30,REV Robotics SRS Programmer,$29.95,In stock,https://www.sparkfun.com/rev-robotics-srs-programmer.html,Development Boards
31,Alchitry Pt V2,$249.99,In stock,https://www.sparkfun.com/alchitry-pt-v2.html,Development Boards
32,Raspberry Pi Compute Module 5 IO Board,$31.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-io-board.html,Development Boards
33,Raspberry Pi Compute Module 5 Development Kit,$160.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-development-kit.html,Development Boards
34,Raspberry Pi Compute Module 5 Lite - 2GB RAM,$65.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-2gb-ram.html,Development Boards
35,Raspberry Pi Compute Module 5 16GB - 2GB RAM,$70.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-2gb-ram.html,Development Boards
36,Raspberry Pi Compute Module 5 32GB - 2GB RAM,$75.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-2gb-ram.html,Development Boards
37,Raspberry Pi Compute Module 5 Lite - 4GB,$80.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-4gb.html,Development Boards
38,Raspberry Pi Compute Module 5 16GB - 4GB RAM,$85.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-16gb-4gb-ram.html,Development Boards
39,Raspberry Pi Compute Module 5 32GB - 4GB RAM,$90.00,In stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-32gb-4gb-ram.html,Development Boards
40,Raspberry Pi Compute Module 5 Lite - 8GB RAM,$120.00,Out of stock,https://www.sparkfun.com/raspberry-pi-compute-module-5-lite-8gb-ram.html,Development Boards
